replication,offset,winner,validation_sharpe,validation_excess_total_return,oos_sharpe,oos_excess_total_return,passes_validation,sealed_oos_pass
1,4077,MOM_60,0.6262305755337632,-0.22826052067353664,0.43726873656799675,0.2023722977785558,False,False
2,3895,CROSS_40_100,1.0069923474435256,-0.2324630215757435,0.1294635973121254,-0.19099097023082268,False,False
3,273,CROSS_40_150,0.7793097111676072,-0.7735952481942265,0.8549747411405704,0.387119916316633,False,False
4,4598,CROSS_10_200,0.9049486319332428,-0.581069763969245,0.5196452841596677,0.06923123544939758,False,False
5,2935,CROSS_40_50,0.3328032202326045,-0.057412250674169885,0.7947064774897484,-0.3741875673594841,False,False
6,4876,CROSS_5_200,0.36421640431675073,-0.1633386774772596,0.6684563742439127,-0.3955932978607031,False,False
7,324,TREND_SMA_20,0.5908486912891449,-1.1439254204902014,0.767654203755048,0.17339738108538394,False,False
8,3424,CROSS_40_50,-0.2504276048673258,-0.12500058216963006,0.6060355144945652,-0.663693754537974,False,False
9,2397,MOM_60,0.4873504292870301,-0.779555437787868,1.3902196750402693,-0.08483272675121345,False,False
10,2069,CROSS_40_200,0.756753011654953,-0.44338509231736656,0.9254795932020579,-0.33729275039441786,False,False
11,1930,CROSS_20_50,0.365171016704224,-0.7572557542585252,0.5738421159048771,-0.0592209338229821,False,False
12,2370,BREAKOUT_55,0.7486054985351188,-0.47719457927589004,0.8262276382571817,-0.30761381364947393,False,False
13,3292,BREAKOUT_20,-0.07344985792634581,-0.2347238111814618,0.5491432753309713,-0.466299366115567,False,False
14,2112,MOM_252,1.0055552164289996,-0.35623989321473704,0.9475048416274424,-0.12400334749538233,False,False
15,3395,MOM_120,-0.10088238899268463,-0.06956670795155206,0.8136020935968584,-0.40601974663586704,False,False
16,1278,MOM_252,0.8831822038252053,-0.31876426017046655,1.0913450440422754,-0.11737498092754306,False,False
17,3534,MOM_120,0.409394754261614,0.45901832397532516,1.148682774525589,-0.0658733593230525,True,False
18,299,CROSS_40_100,0.8066130233769782,-0.7197095490259133,0.5517267548052889,-0.009429498068105113,False,False
19,1801,CROSS_60_200,1.1560622795651083,-0.45235000404559944,1.2593031477145467,0.23887878912273086,False,False
20,3375,CROSS_10_150,0.43254314395883453,0.2530630454999243,1.0710599218613543,0.08271667549900452,True,True
21,342,BREAKOUT_55,1.1025862143966416,-0.44385280482579903,0.2523970518443171,-0.06753160996678309,False,False
22,4903,MOM_120,0.5234484960699438,-0.24004445951660847,0.8059746926848258,-0.09669362588289121,False,False
23,5062,MOM_252,0.5320268835325749,-0.4374565892672966,0.42283447584353556,-0.13756853697607774,False,False
24,1405,CROSS_10_100,0.7118985292425845,-0.6408339974304476,1.111922816940049,-0.09216199144573878,False,False
25,3335,TREND_SMA_100,-0.20997584150711715,-0.26315244446502284,0.8658774193821486,-0.2310688243111454,False,False
26,1260,MOM_252,0.900729214720194,-0.29083624765266824,1.159585547648018,0.026734275795874396,False,False
27,3645,CROSS_40_150,0.263493144089759,-0.27800854950327536,0.3648301127363492,-0.21731950447676085,False,False
28,2916,MOM_20,0.31903225595402823,-0.01968054507331063,0.9766954829587693,-0.2997542718730548,False,False
29,516,CROSS_20_100,1.3759895110587481,-0.4938769178353204,0.37822330159979534,-0.2819498764266626,False,False
30,925,CROSS_10_50,0.8153243383050025,-0.2711031515719635,0.2664466496251971,-0.3256550114616996,False,False
31,3619,TREND_SMA_50,0.36891181818847857,-0.2174719145134696,0.08693839093713758,-0.4744963889200473,False,False
32,761,CROSS_60_200,0.9293872381285767,-0.3434401186892786,1.1846734525554197,0.8660321053356335,False,False
33,527,MOM_252,0.7238850375133224,-0.9888715807935311,0.5650259321197606,-0.1708074420432255,False,False
34,2676,CROSS_60_100,0.37855398276939195,-0.04846077901179968,1.2077587978319313,-0.025360945446554872,False,False
35,4000,MOM_252,0.6036331010564832,-0.24522644528809212,0.213440769631216,-0.05214528464098511,False,False
36,4840,CROSS_10_200,0.6408246680702149,-0.1050308908032973,0.8301790379360771,-0.12771929018255146,False,False
37,2004,TREND_SMA_100,0.881474609422966,-0.24723631240345423,0.9537447356770061,-0.2911320679691938,False,False
38,1319,MOM_252,0.7863579269766833,-0.4482858258388758,0.9759078373369006,-0.196153766234878,False,False
39,2525,CROSS_20_50,0.8250629532522465,-0.5398715800347571,0.749878166364852,-0.45475733536085294,False,False
40,1361,TREND_SMA_20,0.9830232321913817,-0.3688741343185855,0.9609904955710448,-0.3264077714002891,False,False
41,5018,CROSS_60_100,0.6482232267497725,-0.2605696285936443,0.6348886948994547,-0.10551720083130411,False,False
42,2103,CROSS_10_150,0.8120077436041481,-0.7906898379811367,1.0453052438353148,-0.009282817140128019,False,False
43,4671,CROSS_5_200,0.5397615332614973,-0.31417136011556224,0.23433330914445313,-0.20925848128605296,False,False
44,663,TREND_SMA_50,1.1873250057798124,-0.18787039880077328,0.744030231658396,-0.22948324678393295,False,False
45,4606,CROSS_40_200,0.8438332188143851,-0.5728923232180207,0.37944300204174564,-0.04422117114532442,False,False
46,4358,CROSS_60_150,0.9770112054532688,-0.4423902313672594,0.05090810207698489,0.030080686185781524,False,False
47,4032,MOM_252,0.8943412692802994,0.08758676904091622,0.174833003339256,-0.04160801903488198,True,False
48,1678,CROSS_20_50,0.8839749628724352,-0.15817853993623943,0.7859397023327827,-0.5861634471042712,False,False
49,4015,MOM_252,0.6808010680453573,-0.20266010234773724,0.14034523954377653,-0.09851379106264413,False,False
50,926,TREND_SMA_50,0.540129226322881,-0.49119467643814896,0.2641363742534201,-0.32373486005268015,False,False
51,2985,CROSS_10_100,0.23760321584309937,-0.16310752683814211,0.9971899477867858,-0.01014457592896445,False,False
52,554,CROSS_40_200,1.035336822835736,-0.7745693460424856,0.6196627746979995,-0.22034841877606293,False,False
53,3331,CROSS_5_100,-0.136711879297482,-0.27453503285489533,0.6958477107685508,-0.3299295681574619,False,False
54,4960,CROSS_60_200,0.48742944545868233,-0.3999561979631321,0.9246660950742537,0.20036220381553793,False,False
55,4750,MOM_252,0.510225042316841,-0.30496581392697686,0.8937935587310945,-0.021034280881480738,False,False
56,4274,CROSS_5_50,0.7338779958674885,-0.5681300410543,-0.3320362472224467,-0.25232218151552277,False,False
57,2065,CROSS_20_200,0.6765655772623371,-0.45134595864241667,0.792344937129139,-0.4564506700598807,False,False
58,1693,CROSS_40_50,0.8905011791015571,-0.21679501207395147,0.4966074724615903,-0.6325240148164073,False,False
59,1274,CROSS_40_50,0.4385403775382796,-0.6563973595308488,1.5882309286654264,0.07341719605673225,False,False
60,1733,BREAKOUT_55,1.0724581953534256,0.026523593824218983,0.8165615835578898,-0.4828996052565506,True,False
61,4277,CROSS_10_50,0.7357553516174725,-0.5757276923182195,-0.41238472358046546,-0.3459261604082948,False,False
62,1633,TREND_SMA_20,0.8900665720325842,-0.26189324929898916,1.2551882492468749,-0.23918864835047304,False,False
63,328,BREAKOUT_55,1.0306632872747141,-0.497287604433025,0.6525101856312227,0.18276673124054654,False,False
64,1457,CROSS_40_200,0.7709502770157145,-0.5647003966410848,1.0335784434460298,-0.04704453106485218,False,False
65,283,MOM_252,0.8452206331061368,-0.6663074041295716,0.7042975390396321,0.18913794758357194,False,False
66,2387,CROSS_20_50,0.39431709198099146,-0.9768039879847905,0.7503600602529837,-0.4544571119247447,False,False
67,3892,BREAKOUT_200,0.7849815195929177,-0.4463103906010384,0.30285070697331334,0.02128406929261706,False,False
68,975,CROSS_60_100,0.6147918222484788,-0.3044671641790162,0.5770266200318425,-0.0775427118283103,False,False
69,5189,CROSS_40_50,0.5448203646025408,-0.4075870189894426,0.34220961719382054,-0.7618320239821477,False,False
70,280,MOM_252,0.8296091441846293,-0.7311588469663253,0.7258863584941915,0.2260935114564797,False,False
71,4241,CROSS_5_50,0.7489597351796708,-0.5681185037994294,-0.10660129192578366,-0.24338775640518895,False,False
72,2367,MOM_20,0.7206098313548076,-0.5074177810473195,0.9826259772677594,-0.2820616140781409,False,False
73,4664,CROSS_5_200,0.37050358061726707,-0.4900903467648101,0.3166566679380743,-0.1842181857300078,False,False
74,3248,MOM_60,-0.19920376742513082,-0.3228285916030279,0.8662429329300794,-0.29997663714205136,False,False
75,2109,MOM_252,1.1708089117006277,-0.29915455073099073,0.8341570281433353,-0.19279538151512932,False,False
76,2031,TREND_SMA_50,1.0009537146766583,-0.36073442483912044,0.9235859046058505,-0.2179251923703318,False,False
77,3126,TREND_SMA_50,0.11567421089476336,-0.27771006618243943,1.3087764341809145,0.030513168766234333,False,False
78,877,TREND_SMA_150,1.1624600648420926,-0.0620504197709717,0.5757349448615043,-0.012193287599137514,False,False
79,3507,CROSS_10_50,-0.09380398549386694,0.0889441817055101,1.0714779551321967,-0.4835070614527439,False,False
80,1885,CROSS_5_100,1.3771878008152023,0.1887116339681696,0.8459824557085438,-0.09214681797556201,True,False
81,3812,CROSS_60_100,0.5950288214726704,-0.375270361921922,0.5662584640012475,0.3300945671416513,False,False
82,3607,BREAKOUT_20,0.666452871264282,0.17259189060614832,0.019029147909957196,-0.6022596448541789,True,False
83,1583,TREND_SMA_20,0.8475861977723207,-0.3396624691382044,0.8119767905665283,-0.4090761362775581,False,False
84,3539,CROSS_40_100,0.21362833176254992,0.32323014452591725,0.9905416753061294,-0.2612407640453276,True,False
85,3387,CROSS_20_200,0.31918026033025493,0.17091410578528543,1.0384794012780159,-0.02946426302634575,True,False
86,4259,MOM_252,1.0022518216541285,-0.2418464587144764,0.23676086692093554,0.08108506524522308,False,False
87,2193,MOM_252,0.7446007161671125,-0.24886573039736182,0.989993657136358,-0.22801180257669507,False,False
88,2293,CROSS_10_100,0.7244387829725982,-0.41475511376991014,0.9763634270655622,-0.2157475398572839,False,False
89,668,MOM_60,0.8529470028264846,-0.6330264066929208,0.9725719607664919,0.060553142623432255,False,False
90,2466,TREND_SMA_200,1.2420126633451327,-0.32573180212164443,0.9989238273639963,-0.08184832822092836,False,False
91,2444,CROSS_20_150,0.9021838620282251,-0.3673528760868794,0.980852332702412,-0.2509388614612693,False,False
92,1069,CROSS_40_200,1.0290875859958775,-0.369019051943863,0.7814879546311118,0.22364104731451162,False,False
93,4491,CROSS_5_50,1.2395070460746862,-0.35811112405471235,-0.12532502043404628,0.020007282954023986,False,False
94,368,MOM_252,0.8885953076515446,-0.5716097854602924,0.354662587478241,-0.12042584274438961,False,False
95,2358,BREAKOUT_20,1.1220646307869946,-0.08214618389611528,0.8631968583923919,-0.38178204091333456,False,False
96,3214,CROSS_60_200,0.06827653269531575,-0.23617005054371631,0.9643442824028393,-0.09225200439016557,False,False
97,636,CROSS_20_50,0.7297231495996757,-0.9179951999186533,0.9141580079424733,0.03389348742803833,False,False
98,3029,CROSS_40_100,0.0703760110280756,-0.30664426071816153,0.8426031299348261,-0.3015390029007101,False,False
99,4995,CROSS_40_50,0.5301626765650993,-0.40146079177462735,0.6750380722175472,-0.12492414481595149,False,False
100,2747,BREAKOUT_200,0.35021605210486434,-0.12263406194422988,0.9318596394166458,-0.19961011772825943,False,False
101,4814,CROSS_60_100,0.547547481755412,-0.13166354200755603,0.8059370612084215,-0.18112104690083597,False,False
102,4497,CROSS_20_50,1.0599623727083434,-0.6610917839601567,0.0829123280468719,0.0480967829280492,False,False
103,888,CROSS_10_150,0.9758041049170204,-0.11114520783633886,0.7038928722922683,0.08961280306526498,False,False
