quarter,spread,matched_treatments,treated_total,split
2018-03-31,-0.0009177293344826258,35,35,train
2018-06-30,0.10312623347472519,28,28,train
2018-09-30,-0.06509993443166949,54,54,train
2018-12-31,-0.0684999445004229,36,36,train
2019-03-31,0.0480295493977682,36,36,train
2019-06-30,0.059459839893492995,71,71,train
2019-09-30,0.02890455266119877,43,43,train
2019-12-31,0.017230257079903125,21,21,train
2020-03-31,0.011694154377188033,16,16,train
2020-06-30,-0.2072728985312205,30,30,train
2020-09-30,-0.04906585970474174,76,76,train
2020-12-31,-0.05031585996929246,65,65,train
2021-03-31,0.25984614083380514,46,46,train
2021-06-30,0.22208414739336846,25,25,train
2021-09-30,-0.06402511024753443,11,11,train
2021-12-31,-0.08714799553150211,34,34,train
2022-03-31,0.009586361735037876,54,54,validation
2022-06-30,0.04349176786367459,27,27,validation
2022-09-30,-0.23193844844967473,7,7,validation
2022-12-31,-0.03978862512333829,59,59,validation
2023-03-31,0.07024978078586266,81,81,validation
2023-06-30,0.08972563709911326,53,53,validation
2023-09-30,-0.04405593797253252,14,14,validation
2023-12-31,-0.04856922746513982,32,32,validation
2024-03-31,0.007940490474467495,65,84,oos
2024-06-30,0.017501323009151092,49,49,oos
2024-09-30,-0.022080329048921564,21,21,oos
2024-12-31,-0.024180178303854508,58,58,oos
2025-03-31,0.04825911244233495,34,34,oos
2025-06-30,0.07650652928690638,37,37,oos
