quarter,spread,matched_treatments,treated_total,split
2018-03-31,0.05329792146566207,79,79,train
2018-06-30,0.039439320985946394,53,79,train
2018-09-30,-0.05407499457829442,54,81,train
2018-12-31,-0.00449062381363841,40,81,train
2019-03-31,0.05995342992722448,69,81,train
2019-06-30,0.03506364369929021,74,81,train
2019-09-30,0.004023001957107687,73,81,train
2019-12-31,-0.057155240784323574,48,82,train
2020-03-31,-0.03680830668575381,76,83,train
2020-06-30,-0.057384061632329744,69,83,train
2020-09-30,-0.06397967881311305,68,84,train
2020-12-31,-0.10031652631173532,60,85,train
2021-03-31,0.0388084791965113,65,85,train
2021-06-30,-0.066960539933032,87,87,train
2021-09-30,0.016415435601479126,70,87,train
2021-12-31,-0.026723610454104953,87,87,train
2022-03-31,-0.017943509401640176,61,89,validation
2022-06-30,0.0354344627490045,79,89,validation
2022-09-30,-0.09167270221566926,74,89,validation
2022-12-31,-0.05467766224214341,74,90,validation
2023-03-31,0.05038691462470995,71,90,validation
2023-06-30,-0.09007915618998738,61,92,validation
2023-09-30,0.06731239261024922,77,92,validation
2023-12-31,0.004673157332344238,55,92,validation
2024-03-31,0.11043115413787838,57,92,oos
2024-06-30,0.025363215073795388,58,93,oos
2024-09-30,0.03120968779258852,82,94,oos
2024-12-31,0.02704553630355143,58,94,oos
2025-03-31,-0.049583243293633866,94,94,oos
2025-06-30,-0.17621177760291085,78,96,oos
2025-09-30,0.07363710514365536,59,96,oos
2025-12-31,0.20183440930911783,57,97,oos
