quarter,spread,matched_treatments,treated_total,split
2018-03-31,0.027756151486897147,35,35,train
2018-06-30,0.03591388720594598,28,28,train
2018-09-30,-0.01541245200962747,54,54,train
2018-12-31,-0.04180418646547258,36,36,train
2019-03-31,0.06428600365842438,36,36,train
2019-06-30,0.0174183155062636,71,71,train
2019-09-30,0.04340387080242178,43,43,train
2019-12-31,-0.0025089007772993947,21,21,train
2020-03-31,0.06460258738803087,16,16,train
2020-06-30,-0.05823539381187131,30,30,train
2020-09-30,-0.0024518392090026216,76,76,train
2020-12-31,-0.017650147616958156,65,65,train
2021-03-31,0.03931706569219252,46,46,train
2021-06-30,0.07641206368759215,25,25,train
2021-09-30,-0.03399440402296377,11,11,train
2021-12-31,-0.053506724018623275,34,34,train
2022-03-31,0.019127201226453245,54,54,validation
2022-06-30,0.12011208251666267,27,27,validation
2022-09-30,-0.11284387341427667,7,7,validation
2022-12-31,0.014656155741653413,59,59,validation
2023-03-31,0.013447996604952763,81,81,validation
2023-06-30,0.018976924656176744,53,53,validation
2023-09-30,-0.09549136498524449,14,14,validation
2023-12-31,-0.011759026219678037,32,32,validation
2024-03-31,0.05826025830170975,65,84,oos
2024-06-30,-0.05769564997757948,49,49,oos
2024-09-30,0.04526058517005114,21,21,oos
2024-12-31,-0.05179448951308919,58,58,oos
2025-03-31,0.0213711575731268,34,34,oos
2025-06-30,-0.07482375254992608,37,37,oos
2025-09-30,0.07749804990884887,66,66,oos
2025-12-31,0.2330218399432695,51,51,oos
