quarter,spread,matched_treatments,treated_total,split
2018-03-31,0.021805703886865105,78,78,train
2018-06-30,-0.050017727899169084,80,80,train
2018-09-30,-0.0271755988153226,80,80,train
2018-12-31,-0.002691015666044398,80,80,train
2019-03-31,0.004233900480459164,80,80,train
2019-06-30,-0.03670796797649283,81,81,train
2019-09-30,0.04694228003325765,82,82,train
2019-12-31,0.08435338457168802,82,82,train
2020-03-31,-0.0012607506969720488,84,84,train
2020-06-30,-0.08471686453932639,84,84,train
2020-09-30,-0.15602101113604167,82,82,train
2020-12-31,-0.006873880126208436,84,84,train
2021-03-31,0.005602038518325698,86,86,train
2021-06-30,0.008036587880342878,88,88,train
2021-09-30,0.05115637090621363,88,88,train
2021-12-31,-0.029315965552122316,88,88,train
2022-03-31,0.01643652332923531,88,88,validation
2022-06-30,-0.004458077809593293,89,89,validation
2022-09-30,-0.07694129033084111,89,89,validation
2022-12-31,-0.13673877541886,90,90,validation
2023-03-31,0.022840809499150003,90,90,validation
2023-06-30,0.020030683929619583,91,91,validation
2023-09-30,0.11110698802228341,92,92,validation
2023-12-31,0.1301610429999677,92,92,validation
2024-03-31,0.026996198052911334,93,93,oos
2024-06-30,0.02490374561184005,94,94,oos
2024-09-30,-0.011049942304785359,94,94,oos
2024-12-31,0.08990629367330094,94,94,oos
2025-03-31,0.016180512061101347,94,94,oos
2025-06-30,0.03339914939113826,96,96,oos
2025-09-30,0.048581515522227815,96,96,oos
2025-12-31,0.26859582055898895,97,97,oos
