symbol,status,points
ILMN,OK,368
IFF,OK,556
INFO,OK,180
INTC,OK,444
IEX,OK,541
HRS,OK,92
INTU,OK,358
INVH,OK,598
IQV,OK,403
IPGP,OK,579
IR,OK,610
IP,OK,534
ISRG,OK,556
J,OK,427
IT,OK,526
ITW,OK,407
IRM,OK,549
IPG,OK,585
INCY,OK,548
JBHT,OK,548
JBL,OK,547
IVZ,OK,532
JCI,OK,482
JEF,OK,577
JKHY,OK,546
JNJ,OK,561
JPM,OK,569
KDP,OK,583
KEY,OK,506
KEYS,OK,540
JEC,OK,141
KIM,OK,560
KLAC,OK,545
KHC,OK,570
KKR,OK,455
K,OK,529
JNPR,OK,487
KMB,OK,556
JWN,OK,462
KMI,OK,549
KO,OK,541
KR,OK,367
KSS,OK,560
KMX,OK,582
KORS,OK,32
KVUE,OK,334
L,OK,466
LB,OK,309
LDOS,OK,575
LH,OK,408
LEG,OK,567
LII,OK,544
LHX,OK,403
KSU,OK,207
LIN,OK,527
LKQ,OK,560
LLY,OK,524
LMT,OK,535
LNT,OK,593
LNC,OK,583
LOW,OK,476
LRCX,OK,408
LEN,OK,1583
LUMN,OK,390
LUV,OK,558
LVLT,OK,13
LVS,OK,535
LULU,OK,608
LYV,OK,579
LYB,OK,565
LW,OK,545
M,OK,551
MA,OK,515
MAA,OK,514
MAR,OK,544
MAC,OK,502
MAT,OK,453
MAS,OK,540
MCD,OK,602
MCHP,OK,576
MCK,OK,509
MCO,OK,536
MDLZ,OK,562
MDT,OK,581
MET,OK,525
META,OK,407
MGM,OK,564
MJN,OK,11
MHK,OK,578
MKTX,OK,607
MLM,OK,557
MKC,OK,1575
MMM,OK,526
MNST,OK,540
MO,OK,540
MOH,OK,410
MPC,OK,530
MOS,OK,580
MRNA,OK,555
MSFT,OK,620
MPWR,OK,400
MS,OK,540
MRK,OK,563
MSCI,OK,567
MMC,OK,574
MSI,OK,564
MUR,OK,533
MTD,OK,577
MTB,OK,531
MTCH,OK,568
MRO,OK,390
MU,OK,610
NCLH,OK,574
NAVI,OK,519
NDAQ,OK,552
NDSN,OK,608
NEE,OK,552
NFLX,OK,490
NI,OK,540
NBL,OK,165
MYL,OK,154
NFX,OK,35
NEM,OK,577
NKE,OK,602
NKTR,OK,570
MXIM,OK,164
NOC,OK,537
NOV,OK,574
NSC,OK,542
NRG,OK,605
NOW,OK,384
NTAP,OK,525
NTRS,OK,511
NLOK,OK,111
NLSN,OK,181
NUE,OK,522
NVR,OK,543
NVDA,OK,294
NWS,OK,1685
NWL,OK,356
NXPI,OK,569
NWSA,OK,1756
O,OK,608
ODFL,OK,542
OGN,OK,401
OKE,OK,583
ON,OK,572
ORCL,OK,403
ORLY,OK,578
OMC,OK,575
OTIS,OK,366
OXY,OK,543
PANW,OK,411
PARA,OK,798
PAYC,OK,581
PAYX,OK,545
PCAR,OK,545
PCG,OK,533
PEG,OK,569
PENN,OK,528
PG,OK,537
PFE,OK,548
PEP,OK,477
PFG,OK,569
PGR,OK,448
PEAK,OK,173
PDCO,OK,466
PH,OK,540
PBCT,OK,202
PKG,OK,565
PLD,OK,348
PLTR,OK,440
PM,OK,545
PNC,OK,576
PHM,OK,525
PNR,OK,537
PNW,OK,558
PODD,OK,584
POOL,OK,632
PPG,OK,402
PPL,OK,567
PRGO,OK,562
PSA,OK,542
PSKY,OK,35
PRU,OK,425
PTC,OK,588
PSX,OK,523
PVH,OK,523
PWR,OK,541
PYPL,OK,577
QCOM,OK,333
QRVO,OK,551
R,OK,524
RAI,OK,13
REGN,OK,459
RHI,OK,568
RCL,OK,556
RJF,OK,551
REG,OK,467
RF,OK,540
PXD,OK,333
RL,OK,622
ROL,OK,498
ROK,OK,530
RMD,OK,553
ROP,OK,560
ROST,OK,491
RSG,OK,552
RTX,OK,351
RVTY,OK,284
RRC,OK,515
RHT,OK,101
SBUX,OK,314
SCHW,OK,579
SCG,OK,23
SEDG,OK,576
SBAC,OK,562
SBNY,OK,451
RTN,OK,127
RVTY (PREVIOUSLY PKI),NO_SHARES,0
SHW,OK,533
SLB,OK,512
SLG,OK,594
SJM,OK,568
SMCI,OK,444
SNA,OK,533
SOLV,OK,273
SPG,OK,515
SNI,OK,15
SNPS,OK,522
SPGI,OK,353
SO,OK,546
SEE,OK,561
SPLS,OK,14
SIVB,OK,209
SRE,OK,559
STE,OK,515
STLD,OK,481
STI,OK,446
STT,OK,569
SW,OK,241
SWK,OK,555
SWKS,OK,559
STZ,OK,1121
STX,OK,572
SYF,OK,571
T,OK,515
SYY,OK,561
SYK,OK,570
SRCL,OK,381
TDC,OK,357
TDG,OK,583
TAP,OK,1582
TEL,OK,556
SWN,OK,379
TECH,OK,493
TDY,OK,543
TFX,OK,593
TFC,OK,388
TJX,OK,504
TER,OK,566
TGT,OK,569
SYMC,OK,109
TGNA,OK,550
TMO,OK,558
TIF,OK,164
TMUS,OK,559
TPL,OK,534
TPR,OK,528
TKO,OK,274
TRGP,OK,526
TRIP,OK,486
TRV,OK,538
TRMB,OK,438
TROW,OK,547
TSCO,OK,542
TT,OK,461
TTD,OK,614
TSLA,OK,565
TSN,OK,592
TTWO,OK,582
TMK,OK,104
TWX,OK,13
UA,OK,1524
TXT,OK,534
TXN,OK,557
UAA,OK,1526
TYL,OK,509
TSS,OK,123
UAL,OK,523
UNH,OK,506
UNM,OK,549
ULTA,OK,630
UDR,OK,475
UBER,OK,491
TWTR,OK,205
UHS,OK,828
UPS,OK,597
UNP,OK,514
USB,OK,525
URI,OK,546
V,OK,514
VFC,OK,613
VLTO,OK,290
VLO,OK,585
VICI,OK,682
VAR,OK,159
VMC,OK,587
VRSK,OK,568
UTX,OK,177
VNO,OK,477
VNT,OK,232
VRSN,OK,386
VRTX,OK,577
VIAC,OK,540
VST,OK,566
VTR,OK,568
VZ,OK,542
VTRS,OK,375
WAB,OK,496
WAT,OK,581
VIAB,OK,215
WBD,OK,378
WDAY,OK,488
WDC,OK,552
WELL,OK,549
WFC,OK,590
WEC,OK,539
WHR,OK,616
WFM,OK,18
WMT,OK,485
WMB,OK,576
WM,OK,535
WBA,OK,479
WST,OK,525
WCG,OK,121
WSM,OK,517
WU,OK,542
WTW,OK,436
WRB,OK,522
XOM,OK,566
WY,OK,385
WYNN,OK,555
WLTW,OK,179
XEL,OK,578
WRK,OK,332
XYZ,OK,87
XRAY,OK,596
YUM,OK,551
XYL,OK,603
XRX,OK,551
XEC,OK,209
ZBRA,OK,558
ZBH,OK,565
ZION,OK,515
ZTS,OK,526
XLNX,OK,161
